id,first_name,last_name,username,email,phone,city,country,postal_code,signup_date,status,newsletter
1,Imogen,Hawthorne,imogen.hawthorne,imogen.hawthorne@example.com,+1-555-1960,Harrowgate,Kestrand,KE-8256,2023-11-02,active,true
2,Joaquin,Novachek,joaquin.novachek,joaquin.novachek@example.net,+1-555-4244,Oakenshade,Sorrelia,SO-2243,2025-09-18,active,true
3,Alastair,Jarrow,alastair.jarrow,alastair.jarrow@example.com,+1-555-2495,Alderport,Ardenia,AR-8149,2023-09-15,active,true
4,Briony,Marchetti,briony.marchetti,briony.marchetti@example.net,+1-555-7181,Umberfield,Talangar,TA-7000,2025-12-14,active,true
5,Ulric,Zabala,ulric.zabala,ulric.zabala@example.com,+1-555-3625,Ravensford,Velmora,VE-5581,2023-02-04,pending,true
6,Amara,Pennington,amara.pennington,amara.pennington@example.net,+1-555-7663,Thistledown,Velmora,VE-9918,2025-07-16,active,false
7,Vesper,Kaltenbach,vesper.kaltenbach,vesper.kaltenbach@example.com,+1-555-7135,Ravensford,Velmora,VE-6106,2025-10-29,inactive,false
8,Xiomara,Bergstrom,xiomara.bergstrom,xiomara.bergstrom@example.net,+1-555-7568,Juniper Rest,Norvane,NO-3780,2024-03-24,active,true
9,Yrsa,Ulvestad,yrsa.ulvestad,yrsa.ulvestad@example.com,+1-555-4261,Oakenshade,Sorrelia,SO-1787,2025-05-11,suspended,false
10,Aurelio,Ulvestad,aurelio.ulvestad,aurelio.ulvestad@example.org,+1-555-1831,Yarrowend,Talangar,TA-2958,2024-05-14,active,false
11,Everard,Ingersleben,everard.ingersleben,everard.ingersleben@example.org,+1-555-1501,Alderport,Ardenia,AR-2665,2025-08-22,active,true
12,Niall,Ulvestad,niall.ulvestad,niall.ulvestad@example.net,+1-555-9079,Brightwater,Ardenia,AR-4022,2024-12-11,pending,true
13,Imogen,Novachek,imogen.novachek,imogen.novachek@example.com,+1-555-4072,Stonebay,Velmora,VE-1543,2023-10-04,active,true
14,Kestrel,Tanaka,kestrel.tanaka,kestrel.tanaka@example.net,+1-555-9224,Fernbrook,Kestrand,KE-6364,2024-08-30,active,false
15,Linnea,Bergstrom,linnea.bergstrom,linnea.bergstrom@example.org,+1-555-3435,Marrowfen,Sorrelia,SO-4300,2023-03-02,active,true
16,Percival,Nordstrom,percival.nordstrom,percival.nordstrom@example.org,+1-555-1311,Yarrowend,Talangar,TA-9962,2025-10-07,active,true
17,Jarek,Stellwagen,jarek.stellwagen,jarek.stellwagen@example.com,+1-555-2654,Cinderhollow,Ardenia,AR-8203,2023-02-19,active,false
18,Alastair,Brandt,alastair.brandt,alastair.brandt@example.net,+1-555-7662,Glenhaven,Kestrand,KE-9227,2024-02-04,pending,false
19,Everard,Nordstrom,everard.nordstrom,everard.nordstrom@example.org,+1-555-3123,Ravensford,Velmora,VE-8749,2023-11-30,active,true
20,Niall,Abernathy,niall.abernathy,niall.abernathy@example.net,+1-555-2632,Ravensford,Velmora,VE-5726,2023-10-03,active,true
21,Giselle,Wexford,giselle.wexford,giselle.wexford@example.org,+1-555-5158,Ironvale,Norvane,NO-9831,2023-01-10,active,false
